codigo_rec;recinto;Direccion;comuna;region;
2352;CENTRO EDUCACIONAL SAN CARLOS DE ARAGON;AVENIDA SAN CARLOS 205  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
3291;CHILEAN EAGLES COLLEGE LAS VIZCACHAS;LOS CASTAÑOS 1638  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2367;COLEGIO ACROPOLIS;ANGEL PIMENTEL 1003  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;DEL BIOBIO
2341;COLEGIO ALICANTE DEL SOL;AVENIDA JORGE ROSS OSSA 665  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
3180;COLEGIO ALICANTE DEL VALLE;SAN CARLOS 2245  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2342;COLEGIO ALTAZOR;INDEPENDENCIA 261  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2344;COLEGIO CARDENAL RAUL SILVA HENRIQUEZ;AVENIDA EYZAGUIRRE 1811 VILLA LA PRIMAVERA;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2345;COLEGIO COMPAÑIA DE MARIA PUENTE ALTO;AVENIDA CONCHA Y TORO 2411  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2353;COLEGIO EL RACO;HAENDEL 763  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
12263;INSTITUTO EDUCACIONAL COLLICO;BALMACEDA 6020 SECTOR COLLICO;VALDIVIA;DE LOS RIOS;
11127;COLEGIO EL SEMBRADOR;AVENIDA GABRIELA ORIENTE 1450  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2375;COLEGIO EL SEMBRADOR ANEXO 2;GERMAN EBBINGHAUSS 2976  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2350;COLEGIO EMPRENDER OBISPO ALVEAR;OBISPO ENRIQUE ALVEAR 2678  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
2373;COLEGIO EXTREMADURA DE PUENTE ALTO;ANGEL PIMENTEL 2288  ;PUENTE ALTO;METROPOLITANA DE SANTIAGO;
